category,name,website,notes
music,Bill Graham Civic Auditorium,https://www.billgrahamcivic.com,"Civic Center SF; large arena"
music,Bimbo's 365 Club,https://www.bimbos365club.com,"North Beach; historic venue"
music,Boom Boom Room,https://www.boomboomroom.com,"Jazz & blues; Fillmore"
music,Brick & Mortar Music Hall,https://brickandmortarmusic.com,"Mission; indie venue"
music,August Hall,https://www.augusthallsf.com,"Downtown; concert venue"
music,The Midway SF,https://themidwaysf.com,"Dogpatch; large creative complex"
music,Public Works SF,https://publicsf.com,"Mission; nightclub/event space"
music,Local Edition,https://www.localeditionsf.com,"Downtown; live music bar"
music,Great Star Theater,https://www.greatstartheater.org,"Chinatown; 438 seats"
music,The Sound Room,https://www.thesoundroomoakland.com,"Oakland; listening room"
music,UC Theatre,https://theuctheatre.org,"Berkeley; live music"
music,The Starry Plough,https://thestarryplough.com,"Berkeley; live music/poetry"
music,Hotel Utah Saloon,https://www.hotelutah.com,"SoMa; open mic"
music,Madrone Art Bar,https://www.madroneartbar.com,"Divisadero; art bar"
music,The Lost Church SF,https://thelostchurch.org,"North Beach; listening room"
music,Mabuhay Gardens / On Broadway,https://www.onbroadway.com,"Broadway; punk venue (verify current programming)"
theatre,Curran Theatre,https://sfcurran.com,"SHN theater; Tenderloin"
theatre,Brava Theatre Center,https://www.bfrb.org,"Community theater; Mission"
theatre,CounterPulse,https://counterpulse.org,"Experimental performance; Tenderloin"
theatre,The Marsh,https://www.themarsh.org,"Solo performance; Mission"
theatre,Z Space,https://zspace.org,"Theater; Mission"
theatre,Dance Mission Theater,https://dancemissiontheater.org,"Dance/performance; Mission"
theatre,New Conservatory Theatre Center,https://www.nctcsf.org,"Theater; Civic Center"
theatre,Magic Theatre,https://www.magictheatre.org,"Fort Mason; new plays"
theatre,42nd Street Moon,https://42ndstmoon.org,"Musical theater company"
theatre,Custom Made Theatre,https://custommade.org,"Union Square; intimate theater"
theatre,Lorraine Hansberry Theatre,https://lhtsf.org,"African-American theater"
theatre,Palace of Fine Arts Theatre,https://www.palaceoffinearts.org,"Marina; historic venue"
theatre,Herbst Theatre,https://www.sfwmpac.org,"War Memorial complex"
theatre,Bayview Opera House,https://www.bfrb.org,"Bayview; community venue"
theatre,Bindlestiff Studio,https://www.bindlestiff.org,"Filipino-American performing arts; SoMa"
theatre,Smuin Ballet,https://www.smuinballet.org,"Ballet company (venues vary)"
theatre,Alonzo King LINES Ballet,https://www.linesballet.org,"Contemporary ballet"
theatre,Lamplighters Music Theatre,https://lamplighters.org,"Light opera/musical theatre"
theatre,San Francisco Mime Troupe,https://www.sfmt.org,"Political musical theatre (venues vary)"
theatre,TheatreWorks Silicon Valley,https://theatreworks.org,"South Bay theater company"
theatre,San Jose Stage Company,https://www.thestage.org,"San Jose; theater"
theatre,City Lights Theater Company,https://www.cltc.org,"San Jose; theater"
theatre,Hillbarn Theatre,https://hillbarntheatre.org,"Foster City; community theater"
theatre,Shotgun Players,https://shotgunplayers.org,"Berkeley; theater"
theatre,California Shakespeare Theater,https://www.calshakes.org,"Orinda; outdoor Shakespeare"
theatre,Center REPertory Company,https://www.centerrep.org,"Walnut Creek; resident company"
theatre,Altarena Playhouse,https://altarena.org,"Alameda; community theater"
art,Cartoon Art Museum,https://www.cartoonart.org,"SoMa; comics/cartoon art"
art,Museum of the African Diaspora (MoAD),https://www.moadsf.org,"SoMa; museum"
art,The LAB,https://www.thelab.org,"Mission; interdisciplinary arts"
art,Headlands Center for the Arts,https://www.headlands.org,"Sausalito; events/residency"
art,Letterform Archive,https://letterformarchive.org,"SoMa; design archive"
art,Mission Cultural Center for Latino Arts,https://missionculturalcenter.org,"Mission; cultural center"
art,Chinese Culture Center,https://www.cccsf.us,"Chinatown; cultural center"
art,SF Camerawork,https://sfcamerawork.org,"SoMa; photo gallery"
art,Wattis Institute for Contemporary Arts,https://www.wattis.org,"CCA; contemporary art"
art,Creativity Explored,https://creativityexplored.org,"Disability arts studio/gallery"
art,GLBT History Museum,https://www.glbthistory.org,"Castro; museum"
art,Randall Museum,https://randallmuseum.org,"Corona Heights; museum"
art,Marin Museum of Contemporary Art,https://www.marinmoca.org,"Novato; contemporary art"
art,San Jose Institute of Contemporary Art,https://sjica.org,"San Jose; contemporary art"
art,Triton Museum of Art,https://tritonmuseum.org,"Santa Clara; museum"
art,Palo Alto Art Center,https://www.cityofpaloalto.org/gov/depts/csd/arts,"Palo Alto; art center"
art,Sonoma Valley Museum of Art,https://www.svma.org,"Sonoma; museum"
art,Napa Valley Museum,https://www.napavalleymuseum.org,"Yountville; museum"
art,di Rosa Center for Contemporary Art,https://www.dirosaart.org,"Napa; sculpture/contemporary art"
art,Oakland Art Murmur,https://oaklandartmurmur.org,"Oakland; gallery walks"
art,Aggregate Space Gallery,https://www.aggregatespace.com,"West Oakland; gallery"
art,SLATE Contemporary Gallery,https://slatecontemporary.com,"Oakland; gallery"
art,Peninsula Museum of Art,https://peninsulamuseum.org,"San Bruno; museum"
art,Intersection for the Arts,https://theintersection.org,"SF; alternative art space"
art,Montalvo Arts Center,https://montalvoarts.org,"Saratoga; arts center"
art,Gallery Wendi Norris,https://gallerywendinorris.com,"SF; gallery"
art,Warehouse416,https://www.warehouse416.com,"Oakland; gallery/event space"
art,SF Arts Commission Gallery,https://www.sfartscommission.org,"SF; multiple locations"
nightlife,Temple Nightclub,https://www.templesf.com,"SoMa; nightclub"
nightlife,Hawthorn SF,https://hawthornsf.com,"Nightclub"
nightlife,The Great Northern,https://thegreatnorthernsf.com,"Electronic music venue"
nightlife,Oasis SF,https://sfoasis.com,"Drag/cabaret; SoMa"
nightlife,Audio SF,https://audiosf.com,"Dance music club"
nightlife,Monarch SF,https://monarchsf.com,"SoMa; bar/event space"
nightlife,DNA Lounge,https://dnalounge.com,"SoMa; nightclub/live events"
nightlife,1015 Folsom,https://www.1015.com,"SoMa; dance club"
lectures,Litquake,https://www.litquake.org,"Annual literary festival"
lectures,Green Apple Books,https://www.greenapplebooks.com,"Bookstore events; Inner Richmond"
lectures,Bird & Beckett Books,https://www.birdbeckett.com,"Books & jazz; Glen Park"
lectures,Bazaar Cafe,https://bazaarcafe.com,"Acoustic open mics; Outer Richmond"
lectures,Moe's Books,https://www.moesbooks.com,"Berkeley; bookstore events"
lectures,Mechanics' Institute,https://www.milibrary.org,"Financial District; lectures/chess"
art,Thacher Gallery (USF),https://www.usfca.edu/thacher-gallery,"University gallery"
music,SF Conservatory of Music,https://sfcm.edu,"Concert halls; Civic Center"
art,Rosicrucian Egyptian Museum,https://www.egyptianmuseum.org,"San Jose; museum"
art,MACLA,https://www.maclaarte.org,"San Jose; Latino arts"
art,Works/San Jose,https://www.works-sanjose.org,"San Jose; art center"
kids,Filoli,https://www.filoli.org,"Woodside; estate & gardens"
music,Symphony San Jose,https://www.symphonysanjose.org,"Performs at California Theatre"
movies,Vogue Theatre,https://www.voguetheatresf.com,"SF; indie screenings"
movies,4-Star Theatre,https://www.4startheatresf.com,"SF; repertory cinema"
kids,Aquarium of the Bay,https://www.aquariumofthebay.org,"Pier 39; aquarium"
kids,Bay Model Visitor Center,https://www.spn.usace.army.mil/missions/recreation/bay-model-visitor-center/,"Sausalito; USACE visitor center"
music,Bing Concert Hall (Stanford),https://live.stanford.edu/your-visit/venues/bing-concert-hall/,"Stanford"
music,Frost Amphitheater (Stanford),https://live.stanford.edu/your-visit/venues/frost-amphitheater/,"Stanford"
music,Fox Theatre (Redwood City),https://foxrwc.com,"Redwood City"
music,The Mountain Winery,https://www.mountainwinery.com,"Saratoga"
music,Woodminster Amphitheater,https://www.woodminster.com,"Oakland"
music,Memorial Auditorium (Stanford),https://live.stanford.edu/your-visit/venues/more-venues/memorial-auditorium/,"Stanford"
